Movie_Name,Rating,Voting_Counts,Duration_Total,Genre,Duration_Minutes,Duration_Category,Duration
The Inheritance,4.7,3100.0,1h 25m,Horror,85.0,Short,< 2 hrs
We Bury the Dead,6.9,123.0,1h 34m,Horror,94.0,Standard,< 2 hrs
Winnie-the-Pooh: Blood and Honey 2,4.7,12000.0,1h 33m,Horror,93.0,Standard,< 2 hrs
The Curse of the Necklace,4.5,1400.0,1h 39m,Horror,99.0,Standard,< 2 hrs
The Corpse Washer,6.1,1300.0,1h 47m,Horror,107.0,Standard,< 2 hrs
The Painted,4.8,1100.0,1h 25m,Horror,85.0,Short,< 2 hrs
Hold Your Breath,5.3,8900.0,1h 34m,Horror,94.0,Standard,< 2 hrs
You Can't Run Forever,4.5,4400.0,1h 42m,Horror,102.0,Standard,< 2 hrs
The Front Room,4.6,5700.0,1h 34m,Horror,94.0,Standard,< 2 hrs
Turno Nocturno,5.3,687.0,1h 47m,Horror,107.0,Standard,< 2 hrs
Cloud,6.3,1600.0,2h 4m,Horror,124.0,120-150 min,2–3 hrs
Something in the Water,4.1,5000.0,1h 26m,Horror,86.0,Short,< 2 hrs
Grave Torture,6.2,3100.0,1h 57m,Horror,117.0,Standard,< 2 hrs
Kryptic,4.1,618.0,1h 42m,Horror,102.0,Standard,< 2 hrs
Shelby Oaks,5.8,259.0,1h 39m,Horror,99.0,Standard,< 2 hrs
Things Will Be Different,5.2,2800.0,1h 42m,Horror,102.0,Standard,< 2 hrs
Drive Back,4.5,650.0,1h 34m,Horror,94.0,Standard,< 2 hrs
Sayuri,6.4,342.0,1h 48m,Horror,108.0,Standard,< 2 hrs
The Vampire Next Door,4.6,795.0,1h 50m,Horror,110.0,Standard,< 2 hrs
Lembayung,5.9,780.0,2h 3m,Horror,123.0,120-150 min,2–3 hrs
Pedro Páramo,6.3,3100.0,2h 10m,Horror,130.0,120-150 min,2–3 hrs
Wynonna Earp: Vengeance,5.5,1700.0,1h 36m,Horror,96.0,Standard,< 2 hrs
Year 10,5.4,2000.0,1h 36m,Horror,96.0,Standard,< 2 hrs
Handling the Undead,5.3,4600.0,1h 37m,Horror,97.0,Standard,< 2 hrs
The Radleys,5.0,2900.0,1h 55m,Horror,115.0,Standard,< 2 hrs
The Matriarch,6.4,23.0,1h 22m,Horror,82.0,Short,< 2 hrs
Death's Sonata,8.4,464.0,1h 43m,Horror,103.0,Standard,< 2 hrs
Imaginary,4.7,18000.0,1h 44m,Horror,104.0,Standard,< 2 hrs
Noise,6.3,87.0,1h 33m,Horror,93.0,Standard,< 2 hrs
River of Blood,5.0,2000.0,1h 26m,Horror,86.0,Short,< 2 hrs
Latency,4.2,2900.0,1h 34m,Horror,94.0,Standard,< 2 hrs
Milk & Serial,6.6,2700.0,1h 2m,Horror,62.0,Short,< 2 hrs
Black,7.1,2900.0,1h 55m,Horror,115.0,Standard,< 2 hrs
Stream,5.9,9500.0,2h 3m,Horror,123.0,120-150 min,2–3 hrs
Ghost Train,,,1h 34m,Horror,94.0,Standard,< 2 hrs
The Haunted Apartment: Miss K,5.6,484.0,1h 43m,Horror,103.0,Standard,< 2 hrs
The Forbidden Camp: Mass Possession,6.1,370.0,1h 52m,Horror,112.0,Standard,< 2 hrs
