Movie_Name,Rating,Voting_Counts,Duration_Total,Genre
Beating Hearts,7.0,6.1K,2h 46m,Drama
Scoop,6.5,21K,1h 42m,Drama
Cabrini,7.3,9.1K,2h 22m,Drama
Watchmen: Chapter I,7.1,7.1K,1h 23m,Drama
Sector 36,7.1,26K,2h 3m,Drama
Kishkindha Kaandam,8.0,13K,2h 13m,Drama
Here After,4.2,1.8K,1h 33m,Drama
Winner,6.5,2.7K,1h 43m,Drama
Mother of the Bride,4.8,17K,1h 28m,Drama
La Cocina,7.1,3.8K,2h 19m,Drama
First Shift,4.4,2.1K,1h 29m,Drama
Missing Child Videotape,5.6,133,1h 44m,Drama
Succubus,4.6,1.4K,1h 43m,Drama
Let's Both Try,5.9,12,1h 16m,Drama
Super Happy Forever,6.9,274,1h 34m,Drama
Motel Destino,6.5,2.1K,1h 55m,Drama
The Corpse Washer,6.1,1.3K,1h 47m,Drama
Touch,7.4,5.9K,2h 1m,Drama
King Ivory,7.1,78,2h 10m,Drama
Armor,3.6,4.6K,1h 29m,Drama
"From Hilde, with Love",6.9,1.2K,2h 5m,Drama
When Fall Is Coming,6.9,2.4K,1h 44m,Drama
Harvest,6.2,500,2h 11m,Drama
Unsung Hero,7.0,5.2K,1h 53m,Drama
Wild Diamond,6.3,1.1K,1h 43m,Drama
The Forge,6.7,5.2K,2h 4m,Drama
Love,7.3,557,1h 59m,Drama
Shaitaan,6.5,55K,2h 12m,Drama
"Canadian, Sniper",3.4,368,1h 23m,Drama
The Wailing,6.1,1.7K,1h 47m,Drama
Sex,6.6,1.5K,1h 58m,Drama
Diamanti,6.7,1.6K,2h 15m,Drama
Do Patti,6.4,69K,2h 6m,Drama
Grafted,5.6,2.7K,1h 36m,Drama
My Penguin Friend,6.8,5.8K,1h 37m,Drama
Don't Let's Go to the Dogs Tonight,7.8,69,1h 38m,Drama
Raayan,6.5,11K,2h 25m,Drama
Code 8: Part II,5.7,16K,1h 40m,Drama
Big World,7.3,1.5K,2h 11m,Drama
Wynonna Earp: Vengeance,5.5,1.7K,1h 36m,Drama
Saripodhaa Sanivaaram,7.0,10K,2h 46m,Drama
Psycho Therapy: The Shallow Tale of a Writer Who Decided to Write about a Serial Killer,6.2,1.6K,1h 42m,Drama
Dirty Boy,7.7,37,1h 38m,Drama
Out of My Mind,7.4,2.9K,1h 42m,Drama
Waltzing with Brando,8.3,339,1h 44m,Drama
Something in the Water,4.1,5.1K,1h 26m,Drama
Girls Will Be Girls,7.1,2.8K,1h 58m,Drama
