Movie_Name,Rating,Voting_Counts,Duration_Total,Genre
Premalu,7.8,21K,2h 36m,Comedy
Haikyu!! The Dumpster Battle,7.7,6.6K,1h 25m,Comedy
Sookshma Darshini,7.8,11K,2h 22m,Comedy
My Ex's Wedding,8.8,58,1h 35m,Comedy
Opa Cor,5.7,374,1h 26m,Comedy
Kyuka: Before Summer's End,6.3,387,1h 43m,Comedy
Megamind vs. The Doom Syndicate,2.5,5.8K,1h 23m,Comedy
Madgaon Express,7.0,41K,2h 23m,Comedy
Up the Catalogue,9.2,8,1h 12m,Comedy
Mukadderat,7.0,1.5K,1h 30m,Comedy
Stealing Pulp Fiction,6.0,43,1h 18m,Comedy
Teri Baaton Mein Aisa Uljha Jiya,6.2,54K,2h 21m,Comedy
Miracle Mirrors,5.3,340,1h 43m,Comedy
Hot Frosty,5.3,15K,1h 32m,Comedy
How to Make a Killing,6.5,1.5K,1h 49m,Comedy
Marmalade,6.3,3.8K,1h 39m,Comedy
Officer Black Belt,6.9,8.8K,1h 48m,Comedy
Boot Camp,5.8,1.3K,1h 34m,Comedy
Bhool Bhulaiyaa 3,4.6,78K,2h 38m,Comedy
"I, the Executioner",6.3,2K,1h 58m,Comedy
Reunion,5.6,3.7K,1h 30m,Comedy
Young Werther,5.6,291,1h 41m,Comedy
Nuked,7.2,54,1h 26m,Comedy
White Snake: Afloat,6.9,589,2h 13m,Comedy
À bicyclette!,6.9,267,1h 30m,Comedy
A Christmas Gamble,7.2,29,N/A,Comedy
Crew,5.8,38K,1h 58m,Comedy
The Best Christmas Pageant Ever,6.8,6.3K,1h 39m,Comedy
Takintilar,5.2,2.9K,1h 36m,Comedy
A House on Fire,7.2,3.5K,1h 45m,Comedy
Treasure,6.3,2.2K,1h 51m,Comedy
This Is Me... Now,4.1,7.2K,1h 5m,Comedy
A Little Something Extra,7.0,5.3K,1h 39m,Comedy
Munjya,6.3,26K,2h 3m,Comedy
Vaazha: Biopic of a Billion Boys,7.3,4.6K,2h 5m,Comedy
The Merry Gentlemen,4.8,10K,1h 27m,Comedy
I Love You Forever,5.6,214,1h 29m,Comedy
La Casa,6.9,1K,1h 23m,Comedy
Sharmajee Ki Beti,5.9,5.2K,1h 56m,Comedy
Citizen of a Kind,6.6,920,1h 54m,Comedy
Cheech & Chong's Last Movie,7.3,510,N/A,Comedy
Mud Key,5.5,69,1h 16m,Comedy
The Mouse Trap,2.5,3.6K,1h 20m,Comedy
Tezgah,5.4,193,1h 40m,Comedy
Space Cadet,5.0,10K,1h 50m,Comedy
The Underdoggs,5.6,4.7K,1h 36m,Comedy
Feeling Randy,7.2,514,1h 21m,Comedy
Mittran Da Challeya Truck Ni,7.7,1.1K,2h 11m,Comedy
Sasquatch Sunset,5.4,5.7K,1h 28m,Comedy
Chapter 51,N/A,N/A,N/A,Comedy
You Are the Apple of My Eye,6.8,3.8K,1h 41m,Comedy
Between the Temples,6.2,3.2K,1h 51m,Comedy
Trouble,6.2,7.2K,1h 38m,Comedy
Everybody Loves Jenifa,8.4,100,2h 15m,Comedy
Her Seyin Basi Merkür,3.3,480,1h 45m,Comedy
